Iteration	Posterior	Likelihood	Prior	r12	r14	r15	r2	r3	r5	r8	r9
32500	-2.38012	-19.9091	17.529	0.03043051	0.002521864	0.0003441401	0.01997164	0.01364191	0.03932486	0.1646938	0.0509129
33000	-7.91797	-26.7501	18.8322	0.05862071	0.003872893	0.007380927	0.02369317	0.03578592	0.0397239	0.06180673	0.02579963
33500	-1.54815	-19.8334	18.2852	0.02979743	0.001345602	0.001457136	0.05414109	0.03687092	0.08001446	0.07008095	0.010323
34000	-5.25347	-18.631	13.3776	0.1333473	0.0004050825	0.005622654	0.04384514	0.0164784	0.02101527	0.2708805	0.03782077
34500	-3.47073	-20.4618	16.9911	0.06072245	0.00204902	0.003299216	0.02863281	0.02980611	0.08348671	0.1051798	0.03556179
35000	2.46606	-18.1091	20.5752	0.006031608	0.0005352755	0.0003872238	0.009636996	0.0539063	0.03324146	0.02959958	0.03619503
35500	0.481019	-20.6198	21.1008	0.03828178	0.0008711601	0.0006053338	0.00824626	0.05391992	0.01740948	0.01082744	0.01309188
36000	-1.66687	-19.5449	17.878	0.08159108	0.0004411276	0.00491804	0.01709013	0.08215844	0.003748901	0.08413416	0.0303108
36500	-1.82466	-20.6481	18.8235	0.1159035	0.001169627	0.001983594	0.03384375	0.04426414	0.03691502	0.01795925	0.005081471
37000	-6.79337	-19.9773	13.1839	0.1761523	0.000762398	0.009722258	0.08200879	0.08779921	0.01964285	0.1265603	0.03644909
37500	-0.889797	-17.923	17.0332	0.03424175	0.000153269	0.001468316	0.01046784	0.0009281991	0.02172096	0.2676686	0.009985827
38000	-2.89488	-20.711	17.8161	0.02736984	0.003637912	0.00101501	0.04193612	0.04569536	0.05541901	0.1318787	0.0005351309
38500	-0.790772	-19.7469	18.9561	0.1050305	0.0009269972	0.004787554	0.001425867	0.04666639	0.02857064	0.03027752	0.03280152
39000	3.31842	-17.5444	20.8628	0.001811275	0.0008307642	0.0002556191	0.01026199	0.008192041	0.02361454	0.1062735	0.003911581
39500	-7.55793	-21.2846	13.7267	0.04703583	0.002931589	0.00212023	0.08914277	0.186124	0.07329024	0.09395918	0.01735462
40000	-1.39523	-20.7495	19.3542	0.00196123	0.0006345965	0.001895726	0.07425647	0.002549539	0.0199205	0.1076964	0.02166633
40500	-5.88461	-19.4375	13.5529	0.02945287	0.001495955	0.001658818	0.1032786	0.07390526	0.07380727	0.1895187	0.04752908
41000	0.669106	-20.6374	21.3065	0.01139315	0.00127144	0.0007841534	0.001886478	0.03551733	0.01901167	0.03209886	0.03100233
41500	-2.0337	-18.281	16.2473	0.01190013	0.001652901	0.0001788493	0.02332552	0.05716041	0.1094294	0.137688	0.04459314
42000	-1.70776	-19.3805	17.6727	0.0004234944	0.001157612	0.0002418079	0.0282606	0.06431029	0.05345448	0.04538936	0.1214187
42500	-2.93008	-21.2451	18.315	0.07368507	0.001354846	0.006648934	0.004940661	0.05692867	0.0795019	0.04605868	0.01342393
43000	-8.36271	-20.6345	12.2717	0.09680596	0.004976852	0.00506336	0.003395361	0.1185411	0.2122688	0.1406193	0.003035407
43500	1.4089	-19.2434	20.6523	0.002730276	0.002195659	0.000265207	0.01203265	0.03928547	0.01815144	0.07698806	0.0140313
44000	-3.02126	-19.0625	16.0413	0.04290927	0.001409531	0.0007488303	0.003309377	0.1219845	0.06616327	0.1106717	0.049032
44500	0.361751	-19.5936	19.9554	0.0008577423	0.00100814	0.0008323254	0.0379351	0.02443639	0.02226538	0.09820467	0.01498519
45000	-0.940075	-19.1255	18.1854	0.09845491	8.891401e-05	0.001913973	0.002582328	0.09114755	0.00948923	0.02594506	0.05939932
45500	-6.67413	-21.454	14.7799	0.1128202	0.006180166	0.003021212	0.06718934	0.0616584	0.06376359	0.1099046	0.0347625
46000	-1.45897	-19.1489	17.6899	0.03962874	0.0005533845	0.001152825	0.04982005	0.06011189	0.08430538	0.04756523	0.03065904
46500	0.606326	-19.5446	20.151	0.04542359	0.0005963763	0.002403622	0.0180861	0.02555168	0.09156277	0.003061214	0.00405958
47000	-4.27845	-20.5085	16.23	0.129352	0.002184863	0.01002837	0.01993084	0.02647862	0.05409348	0.1342723	0.01045033
47500	-0.677349	-19.2276	18.5503	0.03038869	0.000248783	0.0008825412	0.01828823	0.02736645	0.02197019	0.157099	0.01453436
48000	-10.8146	-20.6133	9.79879	0.1686644	0.004880629	0.006307867	0.01724949	0.2434145	0.1442186	0.04966383	0.07395433
48500	-1.21711	-20.725	19.5079	0.03735389	9.813382e-05	0.002794797	0.03572003	0.05946959	0.008552217	0.06914635	0.009764836
49000	-5.36253	-20.4885	15.126	0.03793569	0.0002959408	0.002136519	0.1735049	0.06698977	0.02177819	0.07770562	0.06164517
49500	-5.43845	-21.6521	16.2136	0.07743554	0.002702006	0.004457736	0.06997542	0.09517305	0.04886106	0.05698019	0.03202624
50000	-6.6058	-23.1121	16.5063	0.0582512	0.004520745	0.004295574	0.04967307	0.06594688	0.07188203	0.08172013	0.03668681
50500	-3.43379	-21.1804	17.7466	0.109402	0.002562507	0.006162484	0.004249963	0.07543633	0.01580653	0.08866968	0.008673672
51000	-1.8074	-18.6442	16.8368	0.06479391	0.0004294005	0.002622833	0.0271645	0.02841699	0.1349815	0.07899555	0.01904699
51500	-4.93116	-21.714	16.7828	0.01646797	0.003396073	0.001434429	0.08204759	0.1047603	0.01764561	0.09302356	0.04037497
52000	-2.45019	-18.5757	16.1255	0.05645323	0.0008161565	0.001593389	0.001826567	0.08955235	0.1510283	0.03910916	0.05163713
52500	-3.11894	-21.0479	17.9289	0.1355745	0.0004345593	0.0004613359	0.05138773	0.03798311	0.0646318	0.002701137	0.008672979
53000	-2.35853	-19.2689	16.9104	0.01475495	0.0006465239	0.000707156	0.0171188	0.0215394	0.08852631	0.1049128	0.1045667
53500	-0.982351	-19.3083	18.326	0.08790319	0.0009247128	0.002728983	0.01376193	0.05451154	0.03590851	0.04497397	0.04128156
54000	-5.82983	-21.7063	15.8765	0.06924193	0.002131971	0.00246826	0.1060138	0.1037106	0.08522399	0.01638371	0.01929436
54500	-6.62657	-22.0257	15.3992	0.1099943	0.002095795	0.007720945	0.07699106	0.04042143	0.0539009	0.0759333	0.06127689
