Iteration	Posterior	Likelihood	Prior	r1	r2
140500	-4.42633	-7.06396	2.63763	0.0115318	0.15616
141000	-1.68667	-7.40537	5.7187	0.001742144	0.01189615
141500	-3.25835	-7.09335	3.83499	0.006751768	0.1010718
142000	-5.38613	-8.00932	2.62318	0.02856643	0.1398478
142500	-3.20026	-7.29889	4.09863	0.01127037	0.08337137
143000	-2.48822	-7.11761	4.6294	0.006637313	0.06146615
143500	-4.54552	-7.78122	3.2357	0.02145041	0.1163377
144000	-3.60573	-7.55623	3.9505	0.003583241	0.09846516
144500	-1.66612	-7.21374	5.54761	0.001089854	0.02110271
145000	-3.00582	-7.35388	4.34806	0.003510774	0.07865959
145500	-5.48331	-7.05613	1.57282	0.01819823	0.2027339
146000	-2.31537	-7.11223	4.79686	0.003580411	0.05614967
146500	-3.35045	-7.05145	3.701	0.009004685	0.1055186
147000	-4.55662	-8.6227	4.06608	0.001574003	0.09469524
147500	-1.9721	-7.83926	5.86716	0.0003791736	0.005835885
148000	-5.07646	-7.32966	2.2532	0.008200487	0.1787127
148500	-2.99564	-7.09385	4.09821	0.005920136	0.08874242
149000	-4.39415	-7.05102	2.65687	0.01294677	0.1537828
149500	-2.64571	-7.30683	4.66111	0.002994665	0.06352283
150000	-3.94442	-7.70009	3.75567	0.003474558	0.1083151
150500	-2.26241	-8.09438	5.83198	0.001387972	0.006586384
151000	-4.81503	-8.38731	3.57228	0.02303626	0.09792281
151500	-5.81202	-7.56219	1.75017	0.02984756	0.182217
152000	-3.84896	-7.11945	3.27049	0.008034653	0.128014
152500	-2.82492	-7.86866	5.04374	0.001290943	0.04609533
153000	-3.37688	-8.13364	4.75677	0.001389984	0.06034483
153500	-2.01284	-7.21662	5.20378	0.004363302	0.03502079
154000	-2.21618	-7.47348	5.2573	0.004930163	0.03177826
154500	-4.90585	-7.08727	2.18142	0.01748842	0.1730137
155000	-2.49346	-7.27911	4.78565	0.007064217	0.0532263
155500	-2.47103	-7.43809	4.96706	0.002007255	0.04921321
156000	-4.15751	-8.53322	4.37571	0.01599078	0.06479682
156500	-2.82761	-7.07771	4.2501	0.005694886	0.0813735
157000	-4.75878	-7.12897	2.37019	0.0104948	0.1705692
157500	-4.2995	-7.39337	3.09386	0.01848039	0.1263997
158000	-2.81594	-7.05121	4.23527	0.00664496	0.08116464
158500	-4.55562	-7.42381	2.86819	0.02031505	0.1358487
159000	-3.58137	-7.05397	3.4726	0.009182796	0.1167607
